"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-03-31,3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim",0,618600,-0.00306204673650282,-0.000646203554119548,0.0236637431739202,0.0656637196557039,0.0434733472561069,"2019-02","2019-Q1",620500,-0.00306204673650282,"2018-12"
2019-03-31,139,"Cook County","IL","Chicago-Naperville-Elgin",1,225500,0.00356030262572319,0.00985221674876847,0.0268670309653916,0.052496017908565,0.00238122408681907,"2007-01","2007-Q1",266900,-0.155114275009367,"2004-06"
2019-03-31,1090,"Harris County","TX","Houston-The Woodlands-Sugar Land",2,191500,0.00314300680984809,0.0164543524416136,0.0603543743078627,0.0756312903767853,0.0384615122386693,"2019-03","2019-Q1",191500,0,"2019-03"
2019-03-31,2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale",3,273200,0.000732600732600733,0.00960827790096083,0.0642773665757694,0.0711991388218656,0.0420875631456175,"2006-05","2006-Q2",290300,-0.0589045814674475,"2005-11"
2019-03-31,2841,"San Diego County","CA","San Diego-Carlsbad",4,590100,-0.00236686390532544,-0.00606366851945427,0.0125257378174331,0.0584000709187751,0.0446929564024887,"2018-12","2018-Q4",593700,-0.00606366851945427,"2018-09"
2019-03-31,1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim",5,721500,-0.00469030211063595,-0.00879241654073362,0.0193557502119243,0.0449886040355636,0.0366915778168966,"2018-12","2018-Q4",727900,-0.00879241654073362,"2018-08"
2019-03-31,581,"Kings County","NY","New York-Newark-Jersey City",6,786400,0.00370134014039566,0.0024219247928617,0.0147096774193548,0.0712610337466779,0.0498438358998716,"2018-10","2018-Q4",787500,-0.0013968253968254,"2018-10"
2019-03-31,2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach",7,305200,-0.000981996726677578,0.00659630606860158,0.0589868147120056,0.105545223309649,0.0454406200195552,"2007-01","2007-Q1",325100,-0.0612119347892956,"2006-04"
2019-03-31,978,"Dallas County","TX","Dallas-Fort Worth-Arlington",8,217100,0.00462748727441,0.0367717287488061,0.13903462749213,0.127775283816103,0.0599366329417399,"2019-03","2019-Q1",217100,0,"2019-03"
2019-03-31,1347,"Queens County","NY","New York-Newark-Jersey City",9,649700,0.00277820651335083,0.00635068153655514,0.051294498381877,0.0722440662732056,0.0402405811271029,"2019-03","2019-Q1",649700,0,"2019-03"
2019-03-31,2832,"Riverside County","CA","Riverside-San Bernardino-Ontario",10,383600,0.00208986415882968,0.0137420718816068,0.0458015267175572,0.0672834275495826,0.0505352537397175,"2006-07","2006-Q3",427000,-0.101639344262295,"2005-05"
2019-03-31,3250,"San Bernardino County","CA","Riverside-San Bernardino-Ontario",11,348600,0.000574052812858783,0.00461095100864553,0.04905206139031,0.0766190697417357,0.0519880555770451,"2006-07","2006-Q3",390300,-0.106840891621829,"2005-09"
2019-03-31,445,"Clark County","NV","Las Vegas-Henderson-Paradise",12,280600,0.00142755174875089,0.0053744177714081,0.0995297805642633,0.100291311842181,0.0463314557531946,"2006-06","2006-Q2",316800,-0.114267676767677,"2004-12"
2019-03-31,207,"King County","WA","Seattle-Tacoma-Bellevue",13,618300,-0.00450813073579134,-0.00674698795180723,-0.0121425147787186,0.104064947363659,0.0520925798690173,"2018-06","2018-Q2",630700,-0.0196606944664658,"2018-02"
2019-03-31,791,"Wayne County","MI","Detroit-Warren-Dearborn",14,81900,0.00367647058823529,0.0199252801992528,0.173352435530086,0.168474425432387,0.0215099264908922,"2006-01","2006-Q1",116200,-0.295180722891566,"1999-09"
2019-03-31,2049,"Tarrant County","TX","Dallas-Fort Worth-Arlington",15,215500,0.0027919962773383,0.0174693106704438,0.088933804951996,0.0991937551514375,0.0498400575373839,"2019-03","2019-Q1",215500,0,"2019-03"
2019-03-31,3136,"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara",16,1232200,-0.0152641253096779,-0.0359126828886629,-0.00299376972246946,0.0987674984310185,0.0725419124170443,"2018-10","2018-Q4",1296800,-0.0498149290561382,"2018-03"
2019-03-31,1561,"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach",17,265400,0.001131648434553,0.00835866261398176,0.0645808263136783,0.108878596246707,0.0479172511422177,"2006-10","2006-Q4",292400,-0.0923392612859097,"2005-10"
2019-03-31,386,"Bexar County","TX","San Antonio-New Braunfels",18,182500,0.00274725274725275,0.0127635960044395,0.0598141695702671,0.0718515287241164,0.0370032671595415,"2019-03","2019-Q1",182500,0,"2019-03"
2019-03-31,2452,"New York County","NY","New York-Newark-Jersey City",19,1228200,-0.00048828125,-0.0202616464582004,-0.0606500956022945,0.0190524559544842,0.0265694230374296,"2017-07","2017-Q3",1326900,-0.0743839023287362,"2015-06"
2019-03-31,3175,"Philadelphia County","PA","Philadelphia-Camden-Wilmington",20,161000,0.00186683260734287,0.0170562223626027,0.108052305574673,0.0909168038200761,0.0351233430635611,"2019-03","2019-Q1",161000,0,"2019-03"
2019-03-31,1510,"Alameda County","CA","San Francisco-Oakland-Hayward",21,861500,-0.00611444393170282,-0.0150908883045616,0.00267690875232775,0.0810057392677857,0.0630800057367582,"2018-11","2018-Q4",877700,-0.0184573316622992,"2018-04"
2019-03-31,2801,"Middlesex County","MA","Boston-Cambridge-Newton",22,551600,-0.000181257930034439,0.0117388114453412,0.0490680867249905,0.0647368667496535,0.0412476813607234,"2019-02","2019-Q1",551700,-0.000181257930034439,"2019-02"
2019-03-31,2046,"Suffolk County","NY","New York-Newark-Jersey City",23,409800,0.0121017535193875,0.0446087178179964,0.0722135007849294,0.0393378715396884,0.0117276497030954,"2006-05","2006-Q2",448000,-0.0852678571428571,"2005-03"
2019-03-31,3017,"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade",24,370400,0,0.00652173913043478,0.044262757259656,0.0750877842111404,0.0500893770979445,"2005-11","2005-Q4",385800,-0.039917055469155,"2005-05"
2019-03-31,401,"Bronx County","NY","New York-Newark-Jersey City",25,437900,0.000685557586837294,0.00689813750287422,0.0983195385001254,0.0650098756008533,0.0298543011285457,"2019-03","2019-Q1",437900,0,"2019-03"
2019-03-31,1252,"Nassau County","NY","New York-Newark-Jersey City",26,542700,0.00221606648199446,0.00221606648199446,0.0537864077669903,0.0615420695770037,0.0264022119849048,"2019-03","2019-Q1",542700,0,"2019-03"
2019-03-31,2993,"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach",27,278200,-0.000359324469996407,0.00542103361040838,0.0565894417014812,0.0973954102557377,0.0408571305674579,"2006-06","2006-Q2",325100,-0.144263303598893,"2005-06"
2019-03-31,2241,"Cuyahoga County","OH","Cleveland-Elyria",28,129900,0.00231481481481481,0.00541795665634675,0.0509708737864078,0.0554058468136898,0.0143048999564497,"2005-07","2005-Q3",135100,-0.0384900074019245,"2004-02"
2019-03-31,3165,"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater",29,223200,0.00269541778975741,0.0113275940190304,0.0593260560037969,0.101577739719225,0.0391663144538035,"2006-09","2006-Q3",230700,-0.0325097529258778,"2006-05"
